id,song,artist,album,popularity,duration
7nrB7gaYNe1x8Kvv7c0Tps,For Those Who Can't Be Here,Tom Walker,For Those Who Can't Be Here,57,183079
59CN7mcm07irUS6YSEUobE,Lose You,Lydia Clowes,Lose You,39,246300
3g6GXZAgm8lyIcKH91uaoL,Everything I Didn’t Say,Ella Henderson,Everything I Didn’t Say,57,207866
5qNh5WtzMbfpSj2jLlBkoD,Your Power,Billie Eilish,Your Power,10,245896
2gbRKKSyW7e7vAkyvrJkte,Pray,Jessie Murph,Pray,80,146266
5aXfGM7WVcqyAvqnL7k0y3,Remember - Acoustic,Becky Hill,Remember (Acoustic),69,178626
2GoXtcbzgBUrvYv6ac7zA9,Letter To Ur Ex,Mahalia,Letter To Ur Ex,67,134626
4f9IfFvBFm7Gsf1IVEudyf,lie to me,Tate McRae,lie to me,68,177440
1mHcikpSNzkFdhYNctCsJy,Not For Me,Sarah Proctor,Not For Me,50,226404
4eaSY3ucamesaARYBsLfz2,Fat Funny Friend,Maddie Zahm,Fat Funny Friend,75,199764
2okt1sEb4uh6OkLJ4cgMWx,My Oh My,James Smith,My Oh My,62,159381
2I0hkWJEy3BhVBvkWsnW5S,Called You Out,Tamzene,Called You Out,48,155841
4IhTXiZLKATmwhMZIb1GQN,Lights Are On,Tom Rosenthal,Z-Sides,82,193749
6kLdSLraP7xxZ7MG2whHBM,Red Hearts,Hana Lili,Red Hearts,46,263897
72LSM9qFFXFkTaz91tBGHp,Jealous,Gavin James,Jealous,56,233422
6fBN1a9LcsB3QohnijExpz,Hurt Like That,Katelyn Tarver,Hurt Like That,49,196333
1btdem1ldi7j2vyUqNVa2h,Loud,JC Stewart,Loud,50,257366
5WtfUKzXircvW8l5aaVZWT,What A Time (feat. Niall Horan),Julia Michaels,Inner Monologue Part 1,84,173306
7bxcHHBpto3NgHAMeGCKFH,When You Love Someone,Saibh Skelly,When You Love Someone,44,225186
6GH4tLwGW6HliKbZBdt6hD,Unlearn (with Gracie Abrams),benny blanco,Unlearn (with Gracie Abrams),66,155361
3H7oAhHxkEkSf9iomv2mbG,could cry just thinkin about you - Full Version,Troye Sivan,could cry just thinkin about you (Full Version),68,158000
71i3wlanzjflfYz0gkT2W8,Falling Up,Dean Lewis,Falling Up,66,206947
7zbHLUYieIVy0Qb8ciRbmx,Down Days,Charlotte Jane,Down Days,47,172821
0TxJGoYx7racCE2idGNN0O,London's Requiem,Louis Dunford,London's Requiem,48,302400
0FSOenCj42lbikl1vd5ah9,Cool Girl,dodie,Cool Girl,55,199384
1oKhOLQj9kU5W8asB5c1uW,Runaway,AURORA,Runaway (Piano Version),49,250040
6pQUQdaZacg722q6sg6fPR,Blame,Grace Carter,Blame,64,251527
6AynlgSKxWXPaTQUawcUrP,"Love Can Be So Lonely, Sometimes (feat. Gabrielle Aplin)",Nick Wilson,"Love Can Be So Lonely, Sometimes (feat. Gabrielle Aplin)",49,225256
7FRICngbPiyTPEKF7wRC9G,Seven,Claudia Valentina,Seven,56,223826
6Lqa8EZSaGEl80rojsrz1B,I Miss You - Paddy's Song,Gavin James,Boxes EP,47,209006
4UL4KALnWgkFlKHEIJUGUH,(I should) take better care,Cody Frost,(I should) take better care,49,274946
0W4prfO7VR3dDo1PfINTXE,"Boring, Happy, Beautiful",Sianon,"Boring, Happy, Beautiful",46,168522
